created_at,compensated_tds_value
2023-05-18 13:02:27+00:00,237.67
2023-05-18 13:02:27+00:00,237.67
2023-05-18 13:12:23+00:00,237.74
2023-05-18 13:12:23+00:00,237.74
2023-05-18 13:22:21+00:00,237.72
2023-05-18 13:22:21+00:00,237.72
2023-05-18 13:22:21+00:00,237.72
2023-05-18 13:32:34+00:00,237.64
2023-05-18 13:32:34+00:00,237.64
2023-05-18 13:43:00+00:00,237.68
2023-05-18 13:43:00+00:00,237.68
2023-05-18 14:03:56+00:00,237.69
2023-05-18 14:14:38+00:00,237.65
2023-05-18 14:25:18+00:00,237.68
2023-05-18 14:36:15+00:00,237.64
2023-05-18 14:36:15+00:00,237.64
2023-05-18 14:47:09+00:00,237.61
2023-05-18 14:58:03+00:00,237.58
2023-05-18 14:58:03+00:00,237.58
2023-05-18 14:58:03+00:00,237.58
2023-05-18 14:58:03+00:00,237.58
2023-05-18 15:09:05+00:00,237.64
2023-05-18 15:09:05+00:00,237.64
2023-05-18 15:09:05+00:00,237.64
2023-05-18 15:09:05+00:00,237.64
2023-05-18 15:09:05+00:00,237.64
2023-05-18 15:20:10+00:00,237.63
2023-05-18 15:31:30+00:00,237.61
2023-05-18 15:54:05+00:00,237.51
2023-05-18 15:54:05+00:00,237.51
2023-05-18 16:05:39+00:00,237.5
2023-05-18 16:17:13+00:00,237.58
2023-05-18 16:29:09+00:00,237.55
2023-05-18 16:29:09+00:00,237.55
2023-05-18 16:29:09+00:00,237.55
2023-05-18 16:40:59+00:00,237.62
2023-05-18 16:53:09+00:00,237.58
2023-05-18 16:53:09+00:00,237.58
2023-05-18 17:05:12+00:00,237.5
2023-05-18 17:05:12+00:00,237.5
2023-05-18 17:05:12+00:00,237.5
2023-05-18 17:17:35+00:00,237.55
2023-05-18 17:17:35+00:00,237.55
2023-05-18 17:17:35+00:00,237.55
2023-05-18 17:30:29+00:00,237.54
2023-05-18 17:30:29+00:00,237.54
2023-05-18 17:30:29+00:00,237.54
2023-05-18 17:30:29+00:00,237.54
2023-05-18 17:42:57+00:00,237.52
2023-05-18 17:42:57+00:00,237.52
2023-05-18 17:42:57+00:00,237.52
2023-05-18 17:42:57+00:00,237.52
2023-05-18 17:55:32+00:00,237.48
2023-05-18 17:55:32+00:00,237.48
2023-05-18 18:08:08+00:00,237.48
2023-05-18 18:08:08+00:00,237.48
2023-05-18 18:08:08+00:00,237.48
2023-05-18 18:21:00+00:00,237.51
2023-05-18 18:21:00+00:00,237.51
2023-05-18 18:33:57+00:00,237.51
2023-05-18 18:47:02+00:00,237.55
2023-05-18 19:00:13+00:00,237.52
2023-05-18 19:00:13+00:00,237.52
2023-05-18 19:26:22+00:00,237.42
2023-05-18 19:26:22+00:00,237.42
2023-05-18 19:26:22+00:00,237.42
2023-05-18 19:53:26+00:00,237.51
2023-05-18 19:53:26+00:00,237.51
2023-05-18 19:53:26+00:00,237.51
2023-05-18 20:06:45+00:00,237.51
2023-05-18 20:06:45+00:00,237.51
2023-05-18 20:06:45+00:00,237.51
2023-05-18 20:47:35+00:00,237.5
2023-05-18 21:15:23+00:00,237.48
2023-05-18 21:29:19+00:00,237.4
2023-05-18 21:43:20+00:00,237.51
2023-05-18 21:43:20+00:00,237.51
2023-05-18 21:57:42+00:00,237.45
2023-05-18 21:57:42+00:00,237.45
2023-05-18 21:57:42+00:00,237.45
2023-05-18 22:12:16+00:00,237.42
2023-05-18 22:12:16+00:00,237.42
2023-05-18 22:12:16+00:00,237.42
2023-05-18 22:12:16+00:00,237.42
2023-05-18 22:12:16+00:00,237.42
2023-05-18 22:26:40+00:00,237.38
2023-05-18 22:26:40+00:00,237.38
2023-05-18 22:41:02+00:00,237.37
2023-05-18 22:55:48+00:00,237.37
2023-05-18 22:55:48+00:00,237.37
2023-05-18 22:55:48+00:00,237.37
2023-05-18 22:55:48+00:00,237.37
2023-05-18 23:10:28+00:00,237.35
2023-05-18 23:10:28+00:00,237.35
2023-05-18 23:25:36+00:00,237.36
2023-05-18 23:41:00+00:00,237.31
2023-05-18 23:41:00+00:00,237.31
2023-05-18 23:41:00+00:00,237.31
2023-05-19 00:26:28+00:00,237.43
2023-05-19 00:26:28+00:00,237.43
2023-05-19 00:26:28+00:00,237.43
2023-05-19 00:41:58+00:00,237.39
2023-05-19 01:13:23+00:00,237.4
2023-05-19 01:13:23+00:00,237.4
2023-05-19 01:13:23+00:00,237.4
2023-05-19 01:28:57+00:00,237.36
2023-05-19 01:44:34+00:00,237.24
2023-05-19 01:44:34+00:00,237.24
2023-05-19 01:44:34+00:00,237.24
2023-05-19 01:44:34+00:00,237.24
2023-05-19 02:16:30+00:00,237.42
2023-05-19 02:32:36+00:00,237.33
2023-05-19 02:48:44+00:00,237.32
2023-05-19 02:48:44+00:00,237.32
2023-05-19 03:05:01+00:00,237.32
2023-05-19 03:21:41+00:00,237.36
2023-05-19 03:21:41+00:00,237.36
2023-05-19 03:21:41+00:00,237.36
2023-05-19 03:21:41+00:00,237.36
2023-05-19 03:38:02+00:00,237.43
2023-05-19 04:12:18+00:00,237.38
2023-05-19 04:12:18+00:00,237.38
2023-05-19 04:12:18+00:00,237.38
2023-05-19 04:12:18+00:00,237.38
2023-05-19 04:12:18+00:00,237.38
2023-05-19 04:28:51+00:00,237.38
2023-05-19 04:28:51+00:00,237.38
2023-05-19 04:45:34+00:00,237.4
2023-05-19 04:45:34+00:00,237.4
2023-05-19 05:02:23+00:00,237.48
2023-05-19 05:36:31+00:00,237.5
2023-05-19 05:36:31+00:00,237.5
2023-05-19 05:36:31+00:00,237.5
2023-05-19 06:11:27+00:00,237.38
2023-05-19 07:04:35+00:00,237.5
2023-05-19 07:22:25+00:00,237.64
2023-05-19 07:40:18+00:00,237.64
2023-05-19 07:58:21+00:00,237.6
2023-05-19 08:16:11+00:00,237.58
2023-05-19 08:34:35+00:00,237.65
2023-05-19 08:34:35+00:00,237.65
2023-05-19 09:11:22+00:00,237.64
2023-05-19 09:29:54+00:00,237.67
2023-05-19 10:07:00+00:00,237.73
2023-05-19 10:25:33+00:00,237.69
2023-05-19 10:25:33+00:00,237.69
2023-05-19 10:25:33+00:00,237.69
2023-05-19 10:44:56+00:00,237.72
2023-05-19 10:44:56+00:00,237.72
2023-05-19 10:44:56+00:00,237.72
2023-05-19 11:03:48+00:00,237.7
2023-05-19 11:42:10+00:00,237.67
2023-05-19 12:01:00+00:00,237.56
2023-05-19 12:01:00+00:00,237.56
2023-05-19 12:20:15+00:00,237.57
2023-05-19 12:20:15+00:00,237.57
2023-05-19 12:39:48+00:00,237.5
2023-05-19 13:18:48+00:00,237.5
2023-05-19 13:18:48+00:00,237.5
2023-05-19 13:18:48+00:00,237.5
2023-05-19 13:18:48+00:00,237.5
2023-05-19 13:38:33+00:00,237.64
2023-05-19 13:38:33+00:00,237.64
2023-05-19 13:38:33+00:00,237.64
2023-05-19 14:38:51+00:00,237.6
2023-05-19 14:38:51+00:00,237.6
2023-05-19 14:58:53+00:00,237.64
2023-05-19 15:39:19+00:00,237.67
2023-05-19 15:59:58+00:00,237.62
2023-05-19 17:02:51+00:00,237.53
2023-05-19 17:44:36+00:00,237.6
2023-05-19 18:06:20+00:00,237.51
2023-05-19 18:06:20+00:00,237.51
2023-05-19 18:27:25+00:00,237.49
2023-05-19 18:27:25+00:00,237.49
2023-05-19 18:27:25+00:00,237.49
2023-05-19 18:48:45+00:00,237.6
2023-05-19 19:53:51+00:00,237.57
2023-05-19 20:38:27+00:00,237.55
2023-05-19 21:45:56+00:00,237.5
2023-05-19 22:08:27+00:00,237.52
2023-05-19 23:16:38+00:00,237.42
2023-05-19 23:16:38+00:00,237.42
2023-05-19 23:39:11+00:00,237.47
2023-05-19 23:39:11+00:00,237.47
2023-05-20 00:02:02+00:00,237.42
2023-05-20 00:02:02+00:00,237.42
2023-05-20 00:25:05+00:00,237.36
2023-05-20 01:34:23+00:00,237.41
2023-05-20 01:34:23+00:00,237.41
2023-05-20 02:44:54+00:00,237.4
2023-05-20 03:08:27+00:00,237.52
2023-05-20 03:32:01+00:00,237.35
2023-05-20 04:19:48+00:00,237.45
